block_discoveries,last_block_that_confirmed,confirmations,block_time,median_time
300,48,20,1,325
300,84,20,2,611
300,119,20,3,893
300,151,20,4,1225
300,147,20,5,1442
300,48,20,6,461
300,35,20,7,367
300,31,20,8,329
300,33,20,9,347
300,25,20,10,299
300,23,20,11,351
300,21,20,12,264
300,23,20, 13.24,300
300,21,20,14,366
300,21,20,15,363
300,21,20,16,329
300,21,20,17,335
300,21,20,18,400
300,21,20,19,462
300,21,20,20,420
300,21,20,21,456
300,21,20,22,482
300,21,20,23,460
300,21,20,24,637
300,21,20,25,560
