block_discoveries,last_block_that_confirmed,confirmations,block_time,median_time
300,47,35,1,288
300,79,35,2,559
300,112,35,3,558
300,136,35,4,823
300,148,35,5,1027
300,82,35,6,809
300,65,35,7,698
300,55,35,8,598
300,43,35,9,454
300,39,35,10,409
300,37,35,11,462
300,39,35,12,589
300,37,35, 13.24,529
300,39,35,14,548
300,36,35,15,548
300,36,35,16,605
300,36,35,17,627
300,36,35,18,686
300,36,35,19,830
300,36,35,20,685
300,36,35,21,758
300,36,35,22,817
300,36,35,23,864
300,36,35,24,974
300,36,35,25,975
