block_discoveries,last_block_that_confirmed,confirmations,block_time,median_time
300,40,30,1,286
300,82,30,2,579
300,114,30,3,882
300,138,30,4,762
300,161,30,5,993
300,162,30,6,618
300,48,30,7,463
300,49,30,8,561
300,40,30,9,441
300,37,30,10,460
300,34,30,11,409
300,33,30,12,395
300,31,30, 13.24,420
300,31,30,14,463
300,31,30,15,472
300,31,30,16,589
300,31,30,17,538
300,31,30,18,557
300,31,30,19,573
300,31,30,20,632
300,31,30,21,844
300,31,30,22,676
300,31,30,23,675
300,31,30,24,763
300,31,30,25,780
